Title,Author,ISBN,Call Number,Publication Year,Subject,Material Type,Location,Barcode,Total Checkouts,Last Checkout Date,Created Date,Item Status,Price,Collection
Using the Internet,Jerry Honeycutt,9780319480571,004.678 H85,1997,Technology,Book,Branch,33544113848,0,,2000-03-18,Available,13.78,Adult Non-Fiction
Quiet,Susan Cain,9780511876172,155.232 C20,2012,Psychology,Book,Main,39776913529,12,2023-11-13,2012-03-10,Available,15.57,Adult Non-Fiction
Untamed,Glennon Doyle,9780261847934,BF637.S4.D69 1948,2020,Self-Help,Book,Main,32073755632,12,2021-05-25,2021-06-12,Available,16.41,Adult Non-Fiction
The Giver,Lois Lowry,9781672817790,813.54 L18,1993,Fiction,Book,Children,35763350700,1,2025-11-05,1996-09-11,Checked Out,16.72,Juvenile
Slaughterhouse-Five,Kurt Vonnegut,9780740969553,PS3572.O5 2014,1969,Fiction,Book,Branch,37193796102,10,2021-04-23,2007-05-11,Available,16.84,Adult Fiction
The Hobbit,J.R.R. Tolkien,9781932817843,823.912 T61,1937,Fiction,Book,Children,37418263314,0,,2006-08-15,Checked Out,16.42,Juvenile
Shoe Dog,Phil Knight,9780118762861,338.7 K58,2016,Business,Book,Main,34509132563,1,2025-12-16,2017-04-08,Available,16.53,Adult Non-Fiction
Catching Fire,Suzanne Collins,9781688742895,813.6 C19,2009,Fiction,Book,YA,35110230967,34,2021-01-11,2010-02-18,Available,17.63,YA
The 1619 Project,Nikole Hannah-Jones,9780754939009,973.0496 H61,2021,History,Book,Main,32635881694,0,,2021-06-03,Missing,19.98,Adult Non-Fiction
Ender's Game,Orson Scott Card,9781460467169,813.54 C31,1985,Science Fiction,Audiobook,Branch,32612105539,38,2025-01-22,1998-08-25,Available,21.46,Adult Fiction
Becoming,Michelle Obama,9780038574407,E909.O24 1999,2018,Biography,Large Print,Branch,38761469117,3,2020-11-11,2019-10-05,Missing,33.91,Adult Non-Fiction
The Wild Robot,Peter Brown,9781020622724,813.6 B14,2016,Fiction,Book,Children,33521300895,27,2022-09-11,2017-07-31,Available,21.76,Juvenile
And Tango Makes Three,Justin Richardson,9781499357844,813.6 R84,2005,Fiction,Book,Children,37573691558,40,2022-05-30,2005-04-28,Checked Out,19.16,Juvenile
A Promised Land,Barack Obama,9780874044744,E908.3.O23 1940,2020,Biography,Book,Main,32707498619,14,2023-11-13,2020-10-18,Available,17.67,Adult Non-Fiction
A Gentleman in Moscow,Amor Towles,9780978108960,813.6 T55,2016,Fiction,Book,Main,36111730477,17,2022-07-27,2016-07-30,Checked Out,14.84,Adult Fiction
A Promised Land,Barack Obama,9780682521444,973.932 O83,2020,Biography,Book,Main,37234615717,2,2024-06-08,2021-07-04,Available,29.68,Adult Non-Fiction
Project Hail Mary,Andy Weir,9781821593148,PS3623.E4325 1981,2021,Science Fiction,Book,Branch,36474354351,0,,2021-10-06,Available,17.37,Adult Fiction
Dog Man,Dav Pilkey,9780660959283,PZ7.7.P55 1992,2016,Fiction,Book,Children,37333854872,13,2023-12-24,2016-07-04,Missing,29.63,Juvenile
The Great Gatsby,F. Scott Fitzgerald,9780996259439,PS3511.I9 1999,1925,Fiction,Book,Branch,32826025489,5,2022-12-12,2005-02-01,Lost,17.61,Adult Fiction
Untamed,Glennon Doyle,9780394775524,BF637.S4.D69 1932,2020,Self-Help,Book,Main,33841827734,9,2021-03-05,2021-03-04,Available,20.71,Adult Non-Fiction
Caste,Isabel Wilkerson,9781306817004,305.5122 W40,2020,Social Science,CD,Branch,36322188162,11,2024-12-09,2021-11-25,Available,14.15,Adult Non-Fiction
The Lincoln Highway,Amor Towles,9780449471111,PS3620.O945 1989,2021,Fiction,Book,Main,35154717862,11,2024-04-18,2022-02-27,Checked Out,15.51,Adult Fiction
Diary of a Wimpy Kid: The Last Straw,Jeff Kinney,9781344321914,PZ7.K6132 1987,2009,Fiction,Book,Children,32867169740,30,2020-06-17,2010-06-27,Available,12.84,Juvenile
The Song of Achilles,Madeline Miller,9780656299553,813.6 M45,2012,Fiction,Large Print,Branch,33632627835,51,2023-02-28,2012-07-15,Available,26.77,Adult Fiction
Shoe Dog,Phil Knight,9780700577613,338.7 K44,2016,Business,Book,Main,31617262027,0,,2017-05-11,Available,18.82,Adult Non-Fiction
"Salt, Fat, Acid, Heat",Samin Nosrat,9781071308424,641.5 N31,2017,Cooking,Book,Main,34519858899,0,,2018-05-03,Available,16.72,Adult Non-Fiction
Charlotte's Web,E.B. White,9781260477993,PZ7.W5828 1914,1952,Fiction,Book,Children,36161147047,6,2025-05-22,1999-08-29,Available,17.27,Juvenile
Algorithms to Live By,Brian Christian,9780788712876,003.54 C32,2016,Technology,Book,Main,39675524665,11,2023-10-27,2016-05-13,Available,24.61,Adult Non-Fiction
Big Little Lies,Liane Moriarty,9781735859866,823.92 M52,2014,Fiction,Book,Main,31037811610,30,2022-09-25,2015-09-29,Available,29.21,Adult Fiction
"Salt, Fat, Acid, Heat",Samin Nosrat,9781521979402,641.5 N26,2017,Cooking,Book,Main,38382488970,14,2020-10-30,2017-11-21,Available,19.54,Adult Non-Fiction
Charlotte's Web,E.B. White,9781427880390,813.52 W53,1952,Fiction,Book,Children,38018504635,10,2024-11-03,2003-06-03,Available,14.52,Juvenile
Homo Deus,Yuval Noah Harari,9781821287016,CB161.H37 1919,2017,History,Book,Main,34618105265,13,2023-07-12,2017-11-12,Available,24.48,Adult Non-Fiction
Verity,Colleen Hoover,9781776977604,813.6 H24,2018,Fiction,Book,Main,36695007725,22,2021-02-05,2018-08-22,Available,15.50,Adult Fiction
To Kill a Mockingbird,Harper Lee,9781443858175,813.54 L93,1960,Fiction,CD,Main,38270110908,16,2023-07-21,2003-07-11,Checked Out,15.63,Adult Fiction
Cravings,Chrissy Teigen,9781592518142,641.5 T77,2016,Cooking,Audiobook,Branch,34793015896,15,2023-03-27,2016-07-02,Available,39.16,Adult Non-Fiction
The Hunger Games,Suzanne Collins,9781227782313,813.6 C59,2008,Fiction,Large Print,YA,33540741595,24,2022-02-10,2009-07-30,Available,41.40,YA
Shoe Dog,Phil Knight,9780515183351,HD9992.U54.N553 2010,2016,Business,Book,Branch,32292304779,8,2024-12-02,2016-06-13,Checked Out,22.99,Adult Non-Fiction
The Invisible Life of Addie LaRue,V.E. Schwab,9780197022450,813.6 S39,2020,Fiction,Book,Main,35970811968,9,2021-04-09,2020-12-04,Available,20.14,Adult Fiction
Lord of the Flies,William Golding,9780848254773,823.914 G74,1954,Fiction,Book,Branch,31591728242,10,2022-10-01,1995-02-23,Checked Out,26.85,Adult Fiction
Brave New World,Aldous Huxley,9780726125348,823.912 H49,1932,Fiction,Book,Branch,38968734873,2,2024-02-14,2010-03-26,Checked Out,14.40,Adult Fiction
Daisy Jones & The Six,Taylor Jenkins Reid,9781532357190,813.6 R58,2019,Fiction,Book,Branch,34580822352,15,2023-08-12,2020-11-01,Available,19.82,Adult Fiction
To Kill a Mockingbird,Harper Lee,9781149947777,PS3562.E353 1985,1960,Fiction,Book,Branch,37855092056,2,2020-10-12,2004-02-07,Available,22.36,Adult Fiction
All Boys Aren't Blue,George M. Johnson,9780367891794,HQ76.27.Y68 1916,2020,Sociology,Book,YA,37294421869,11,2021-11-27,2020-06-09,Available,21.97,YA
Diary of a Wimpy Kid: The Last Straw,Jeff Kinney,9781439143551,813.6 K65,2009,Fiction,Book,Children,35717062885,27,2022-03-09,2009-09-05,Available,20.87,Juvenile
Java: The Complete Reference,Herbert Schildt,9781242424878,005.133 S94,1996,Technology,Book,Main,39098129449,19,2023-01-05,1997-04-08,Available,21.71,Adult Non-Fiction
Educated,Tara Westover,9780763367695,LC5133.W47 2005,2018,Education,Large Print,Main,34490722186,0,,2019-10-24,Available,32.75,Adult Non-Fiction
The One and Only Ivan,Katherine Applegate,9780008465414,813.54 A19,2012,Fiction,Book,Children,33708842947,0,,2012-08-11,Available,20.60,Juvenile
Mayo Clinic Family Health Book,Mayo Clinic,9781673671087,613 C15,2003,Medicine,Book,Main,35072538783,6,2022-05-23,2003-08-04,Available,27.42,Adult Non-Fiction
Catching Fire,Suzanne Collins,9780899677019,813.6 C53,2009,Fiction,Book,YA,33397657114,83,2022-01-19,2010-07-27,Checked Out,28.98,YA
Just Mercy,Bryan Stevenson,9781262471616,KF373.S74 1978,2014,Law,Book,Branch,35613018394,15,2023-11-24,2014-11-24,Checked Out,24.47,Adult Non-Fiction
The Merck Manual,Robert S. Porter,9781200293973,616 P32,1999,Medicine,Book,Main,39918573705,5,2025-08-01,2002-09-17,Available,20.30,Reference
Verity,Colleen Hoover,9781840224467,813.6 H11,2018,Fiction,Book,Main,35774080233,83,2025-09-10,2018-07-02,Missing,28.33,Adult Fiction
Book Lovers,Emily Henry,9781460358412,PS3608.E573 1942,2022,Fiction,Book,Main,37482848011,36,2022-01-01,2022-09-25,Available,22.02,Adult Fiction
Normal People,Sally Rooney,9781991607737,823.92 R95,2018,Fiction,Book,Main,37539441086,32,2020-11-19,2018-11-03,Available,18.49,Adult Fiction
The Giving Tree,Shel Silverstein,9781998013548,PZ7.S5876 2020,1964,Fiction,Book,Children,31439080604,0,,2007-06-29,Available,21.53,Juvenile
"Tomorrow, and Tomorrow, and Tomorrow",Gabrielle Zevin,9780243660902,813.6 Z77,2022,Fiction,Book,Branch,33555656321,17,2022-10-05,2023-08-07,Missing,21.99,Adult Fiction
Flamer,Mike Curato,9781170647301,741.5 C21,2020,Graphic Novels,Book,YA,39847550931,37,2024-09-28,2020-12-28,Available,27.48,YA
Talking to Strangers,Malcolm Gladwell,9781059622900,HM1106.G53 1986,2019,Social Science,Book,Main,33574081104,0,,2019-08-05,Available,25.57,Adult Non-Fiction
Unbroken,Laura Hillenbrand,9780781642361,D805.J3.Z36 1957,2010,History,Book,Branch,38375312491,3,2024-09-11,2010-12-23,Checked Out,11.08,Adult Non-Fiction
Flamer,Mike Curato,9781848030497,741.5 C81,2020,Graphic Novels,Book,YA,31867542631,3,2021-12-21,2021-11-05,Checked Out,23.23,YA
The Merck Manual,Robert S. Porter,9781311892850,616 P10,1999,Medicine,Book,Main,37338134731,1,2023-02-13,2002-01-25,Available,22.77,Reference
The Covenant of Water,Abraham Verghese,9780346741522,813.54 V48,2023,Fiction,Large Print,Main,34821286999,11,2022-04-13,2023-12-18,Available,38.11,Adult Fiction
The One and Only Ivan,Katherine Applegate,9780632355044,813.54 A89,2012,Fiction,Book,Children,35578692558,39,2023-11-02,2013-08-03,Lost,21.34,Juvenile
Pride and Prejudice,Jane Austen,9780382940439,823.7 A72,1813,Fiction,Book,Main,32180484299,4,2025-09-23,2006-02-09,Available,13.14,Adult Fiction
The Devil in the White City,Erik Larson,9780843412062,364.1523 L81,2003,True Crime,Audiobook,Main,31710404224,11,2025-09-07,2003-02-21,Missing,24.44,Adult Non-Fiction
It Ends with Us,Colleen Hoover,9781905120369,PS3608.O623 1982,2016,Fiction,DVD,Main,32295574037,23,2020-08-11,2017-10-23,Available,21.53,Adult Fiction
It Starts with Us,Colleen Hoover,9780143812012,813.6 H27,2022,Fiction,Book,Main,33694860228,29,2025-04-01,2023-09-03,Available,21.04,Adult Fiction
The Shining,Stephen King,9781654005412,813.54 K88,1977,Fiction,Large Print,Main,33057422183,0,,2004-05-27,Available,27.38,Adult Fiction
How to Win Friends and Influence People,Dale Carnegie,9780431880587,158.2 C90,1936,Self-Help,CD,Main,39379034387,13,2023-03-04,2009-06-08,Checked Out,12.90,Adult Non-Fiction
The Four Agreements,Don Miguel Ruiz,9781352134896,299.792 R52,1997,Self-Help,Book,Main,35381866906,3,2021-02-06,2000-11-26,Checked Out,29.47,Adult Non-Fiction
Fourth Wing,Rebecca Yarros,9780121078324,813.6 Y74,2023,Fiction,Book,Branch,32188332531,0,,2024-10-14,Checked Out,29.61,Adult Fiction
Iron Flame,Rebecca Yarros,9780807233696,PS3625.A77 1909,2023,Fiction,Audiobook,Branch,32103616435,40,2025-01-03,2023-06-04,Available,27.39,Adult Fiction
Anxious People,Fredrik Backman,9780535555916,PT9877.12.A35 1930,2020,Fiction,Book,Main,37313226025,0,,2020-10-16,Available,24.35,Adult Fiction
The Perks of Being a Wallflower,Stephen Chbosky,9780371387856,813.54 C39,1999,Fiction,Book,YA,37050091525,1,2024-03-16,1999-01-15,Available,23.43,YA
Bad Blood,John Carreyrou,9781336417090,338.7 C58,2018,Business,Large Print,Branch,38404418865,0,,2019-01-19,Available,34.30,Adult Non-Fiction
Becoming,Michelle Obama,9780202908618,973.932 O46,2018,Biography,Book,Main,33070987704,12,2022-07-15,2018-10-13,Available,26.33,Adult Non-Fiction
Half Baked Harvest Super Simple,Tieghan Gerard,9781164168201,641.5 G46,2019,Cooking,Audiobook,Main,33291270703,6,2023-10-14,2019-06-25,Available,36.84,Adult Non-Fiction
Diary of a Wimpy Kid: The Last Straw,Jeff Kinney,9780215764317,813.6 K74,2009,Fiction,Book,Children,32897690739,39,2020-08-15,2010-04-02,Checked Out,19.61,Juvenile
Sams Teach Yourself Visual Basic,Greg Perry,9781964501819,QA76.73.B3 1939,1999,Technology,Book,Branch,33831598303,5,2022-05-28,1999-07-25,Missing,20.65,Adult Non-Fiction
Homo Deus,Yuval Noah Harari,9781081378219,909.83 H48,2017,History,Book,Branch,35253570650,9,2021-07-16,2018-02-07,Available,12.66,Adult Non-Fiction
Matilda,Roald Dahl,9781645632368,823.914 D76,1988,Fiction,Book,Children,31831314297,0,,1997-08-24,Available,25.00,Juvenile
The Seven Husbands of Evelyn Hugo,Taylor Jenkins Reid,9781048616392,813.6 R65,2017,Fiction,CD,Branch,37011581434,23,2024-09-24,2017-01-20,Available,15.18,Adult Fiction
Educated,Tara Westover,9780091603632,371.04 W59,2018,Education,Book,Main,38964640525,17,2025-06-28,2018-11-02,Available,27.43,Adult Non-Fiction
The Lord of the Rings,J.R.R. Tolkien,9780487488713,823.912 T45,1954,Fiction,Book,Main,31710924824,7,2021-01-08,2004-08-17,Checked Out,24.36,Adult Fiction
The Hate U Give,Angie Thomas,9781353239569,PS3620.H645 2024,2017,Fiction,Book,YA,33772636814,15,2025-10-16,2018-05-12,Available,27.47,YA
The Vanishing Half,Brit Bennett,9780571298211,813.6 B36,2020,Fiction,Book,Main,33313194377,0,,2020-05-31,Checked Out,20.00,Adult Fiction
Matilda,Roald Dahl,9781392967485,823.914 D35,1988,Fiction,Book,Children,38213650687,9,2020-02-03,1997-01-01,Checked Out,22.61,Juvenile
Cravings,Chrissy Teigen,9781414725628,641.5 T94,2016,Cooking,Book,Main,31724301196,8,2024-01-12,2016-10-10,Available,13.54,Adult Non-Fiction
The Four Agreements,Don Miguel Ruiz,9781846711176,299.792 R15,1997,Self-Help,CD,Branch,34719242291,13,2021-05-22,1998-09-25,Checked Out,15.79,Adult Non-Fiction
Daring Greatly,Brene Brown,9781599608648,BF575.S45.B76 1981,2012,Self-Help,Audiobook,Main,33165512104,1,2025-06-01,2013-03-19,Available,38.48,Adult Non-Fiction
Beloved,Toni Morrison,9781659837728,PS3563.O8749 2012,1987,Fiction,Book,Main,32314754322,0,,2001-07-10,Available,19.65,Adult Fiction
Dark Places,Gillian Flynn,9780014908400,813.6 F63,2009,Fiction,Book,Branch,36504544772,21,2021-04-11,2009-01-07,Available,24.02,Adult Fiction
Captain Underpants,Dav Pilkey,9781014717269,PZ7.P632 1981,1997,Fiction,Book,Children,31607196157,0,,1999-03-19,Available,21.20,Juvenile
Outliers: The Story of Success,Malcolm Gladwell,9781329594395,302 G16,2008,Social Science,Book,Branch,32946254259,0,,2009-07-04,Available,14.33,Adult Non-Fiction
Speak,Laurie Halse Anderson,9781233732128,813.54 A21,1999,Fiction,Book,YA,38181574001,13,2024-01-15,2001-07-21,Available,28.69,YA
Catching Fire,Suzanne Collins,9780940817586,813.6 C38,2009,Fiction,Book,YA,39996812354,6,2022-05-09,2010-03-14,Available,17.59,YA
Mexican Gothic,Silvia Moreno-Garcia,9780745708850,813.6 M27,2020,Fiction,Book,Branch,37312821876,12,2024-03-27,2021-05-21,Available,22.71,Adult Fiction
Born a Crime,Trevor Noah,9781261811284,PN1992.4.N63 1911,2016,Biography,Book,Main,31110533960,10,2023-06-17,2016-04-28,Available,25.90,Adult Non-Fiction
Demon Copperhead,Barbara Kingsolver,9780147598813,PS3561.I496 1955,2022,Fiction,Book,Branch,37071288688,14,2023-06-02,2022-01-25,Available,14.21,Adult Fiction
Lawn Boy,Jonathan Evison,9781246981971,813.6 E45,2018,Fiction,Book,Main,39699264134,20,2020-05-24,2019-02-02,Available,22.07,Adult Fiction
The PDR Family Guide to Prescription Drugs,PDR Staff,9780721452081,615.1 S97,1995,Medicine,DVD,Main,39067664957,4,2020-08-30,1996-08-07,Available,23.52,Reference
The Seven Husbands of Evelyn Hugo,Taylor Jenkins Reid,9780138898014,813.6 R66,2017,Fiction,DVD,Branch,33415802569,8,2021-10-05,2018-01-06,Checked Out,20.64,Adult Fiction
Pet Sematary,Stephen King,9781803283418,PS3561.I483 1926,1983,Fiction,Book,Main,32128928014,7,2024-09-12,1999-09-21,Available,24.30,Adult Fiction
Percy Jackson and the Lightning Thief,Rick Riordan,9781697314984,813.54 R48,2005,Fiction,Book,Children,34536306171,24,2020-05-11,2005-04-26,Available,26.37,Juvenile
The Hate U Give,Angie Thomas,9781567674156,813.6 T62,2017,Fiction,Book,YA,35367513465,58,2020-07-05,2018-08-23,Checked Out,24.31,YA
The Pioneer Woman Cooks,Ree Drummond,9780576295451,641.5 D48,2009,Cooking,Book,Branch,37374810067,20,2023-11-15,2009-11-23,Checked Out,29.52,Adult Non-Fiction
Harrison's Principles of Internal Medicine,Dennis Kasper,9781476325729,616 K95,1994,Medicine,Book,Main,36161513987,1,2022-12-22,1995-08-12,Available,11.89,Reference
The Giver,Lois Lowry,9780836376647,813.54 L79,1993,Fiction,Book,Children,39670335754,5,2024-05-06,1996-01-09,Available,14.60,Juvenile
The Invisible Life of Addie LaRue,V.E. Schwab,9781509660834,PS3619.C488 1903,2020,Fiction,DVD,Main,38058382074,21,2020-08-17,2020-12-13,Available,14.39,Adult Fiction
The Perks of Being a Wallflower,Stephen Chbosky,9780794929770,813.54 C45,1999,Fiction,Book,YA,34431078106,8,2021-07-14,2000-05-28,Available,22.93,YA
Windows 98 for Dummies,Andy Rathbone,9781116030099,005.4469 R77,1998,Technology,CD,Main,39222330478,12,2022-03-27,1998-10-08,Available,11.66,Adult Non-Fiction
Sapiens,Yuval Noah Harari,9781197965778,909 H92,2015,History,Book,Branch,35588254555,10,2025-09-09,2015-12-27,Available,12.40,Adult Non-Fiction
Spare,Prince Harry,9781191521819,DA591.A45 1928,2023,Biography,Book,Branch,35459478267,16,2025-04-05,2024-12-23,Available,19.51,Adult Non-Fiction
The Subtle Art of Not Giving a F*ck,Mark Manson,9780518834076,158.1 M41,2016,Self-Help,Book,Main,38498174646,70,2022-03-05,2017-06-06,Available,28.20,Adult Non-Fiction
Magnolia Table,Joanna Gaines,9781633799615,641.5 G71,2018,Cooking,Large Print,Main,32405905813,4,2021-06-27,2019-11-24,Checked Out,27.50,Adult Non-Fiction
Big Little Lies,Liane Moriarty,9781185229936,823.92 M85,2014,Fiction,Book,Main,32783074271,37,2020-06-15,2015-08-19,Available,13.52,Adult Fiction
Harry Potter and the Chamber of Secrets,J.K. Rowling,9781307029598,823.914 R17,1999,Fiction,Book,Children,37769342363,7,2025-11-05,2002-09-14,Checked Out,15.19,Juvenile
The Goldfinch,Donna Tartt,9780604921543,813.54 T11,2013,Fiction,Book,Main,35956268238,20,2025-04-18,2014-05-10,Available,15.62,Adult Fiction
The Subtle Art of Not Giving a F*ck,Mark Manson,9780254404342,158.1 M82,2016,Self-Help,Book,Main,38876219703,16,2021-07-10,2017-10-23,Checked Out,20.14,Adult Non-Fiction
A Promised Land,Barack Obama,9780719429545,E908.3.O23 1910,2020,Biography,Book,Main,32817865363,8,2025-02-15,2021-03-05,Available,12.18,Adult Non-Fiction
The Institute,Stephen King,9781833304794,813.54 K39,2019,Fiction,Audiobook,Main,35993561321,19,2021-12-01,2019-03-15,Available,30.67,Adult Fiction
Untamed,Glennon Doyle,9780547103167,158.1 D96,2020,Self-Help,Book,Main,33460580557,10,2021-06-23,2021-07-09,Available,14.92,Adult Non-Fiction
Demon Copperhead,Barbara Kingsolver,9781705147542,813.54 K53,2022,Fiction,Large Print,Branch,38626138802,39,2020-10-03,2022-09-22,Available,31.41,Adult Fiction
Windows 98 for Dummies,Andy Rathbone,9781792357541,QA76.76.O63 1961,1998,Technology,Book,Main,35737057771,1,2025-12-22,1999-09-11,Available,19.75,Adult Non-Fiction
Demon Copperhead,Barbara Kingsolver,9780663173488,813.54 K82,2022,Fiction,CD,Main,36344160868,21,2025-12-06,2023-09-19,Available,10.06,Adult Fiction
The Hobbit,J.R.R. Tolkien,9780680948922,PR6039.O32 1961,1937,Fiction,Book,Children,32911547690,0,,1997-09-14,Available,29.76,Juvenile
Hillbilly Elegy,J.D. Vance,9781162126111,HN79.A127.V36 1929,2016,Social Science,Book,Branch,35878706464,10,2025-07-15,2016-12-01,Available,13.19,Adult Non-Fiction
The Song of Achilles,Madeline Miller,9780032765313,813.6 M79,2012,Fiction,CD,Main,39293877846,21,2025-09-09,2013-07-13,Available,12.97,Adult Fiction
The Catcher in the Rye,J.D. Salinger,9781844042692,813.54 S88,1951,Fiction,Large Print,Main,38081357418,118,2025-11-01,1997-10-29,Available,44.81,Adult Fiction
Harry Potter and the Sorcerer's Stone,J.K. Rowling,9781283797764,823.914 R21,1998,Fiction,Book,Children,37282518886,0,,1999-05-21,Available,15.70,Juvenile
Being Mortal,Atul Gawande,9780673041425,616.029 G82,2014,Medicine,Book,Main,37488199149,15,2023-12-26,2014-09-17,Available,15.83,Adult Non-Fiction
Windows 98 for Dummies,Andy Rathbone,9780136323457,005.4469 R13,1998,Technology,DVD,Main,33654728627,0,,2000-03-09,Checked Out,13.94,Adult Non-Fiction
Sapiens,Yuval Noah Harari,9780261838994,909 H66,2015,History,Book,Branch,32605548088,3,2021-08-27,2016-09-27,Available,27.50,Adult Non-Fiction
Beach Read,Emily Henry,9780994205612,813.6 H51,2020,Fiction,Book,Branch,35573821760,9,2024-08-21,2021-06-23,Available,20.96,Adult Fiction
The Women,Kristin Hannah,9780934574099,813.54 H87,2024,Fiction,Book,Main,36898796145,78,2022-07-31,2024-01-22,Available,22.17,Adult Fiction
Magnolia Table,Joanna Gaines,9780169225681,641.5 G54,2018,Cooking,Book,Branch,34728940550,17,2022-07-12,2018-11-27,Available,17.56,Adult Non-Fiction
Just Mercy,Bryan Stevenson,9781247265407,340.092 S86,2014,Law,Book,Main,37172324849,13,2024-09-25,2014-03-23,Available,22.87,Adult Non-Fiction
Harry Potter and the Chamber of Secrets,J.K. Rowling,9781961102538,823.914 R54,1999,Fiction,Audiobook,Children,39681644296,10,2024-11-27,2002-12-18,Available,31.17,Juvenile
I'm Glad My Mom Died,Jennette McCurdy,9781120312921,791.4502 M44,2022,Biography,Book,Main,38802681056,1,2022-08-23,2023-01-18,Available,18.33,Adult Non-Fiction
It Ends with Us,Colleen Hoover,9780316096553,813.6 H40,2016,Fiction,Audiobook,Main,39894928830,2,2024-05-03,2016-05-15,Checked Out,37.21,Adult Fiction
The Kite Runner,Khaled Hosseini,9781831750777,813.54 H72,2003,Fiction,Book,Branch,35315211627,4,2021-06-14,2003-04-01,Available,22.67,Adult Fiction
"Beautiful World, Where Are You",Sally Rooney,9781995678207,823.92 R21,2021,Fiction,Book,Branch,31257922823,11,2025-06-21,2021-05-09,Checked Out,15.41,Adult Fiction
The Hobbit,J.R.R. Tolkien,9780780288423,823.912 T71,1937,Fiction,Book,Children,32290179211,12,2023-11-26,2002-07-02,Checked Out,27.71,Juvenile
Homo Deus,Yuval Noah Harari,9780845071199,909.83 H14,2017,History,Book,Branch,37472806994,18,2025-01-16,2017-02-12,Checked Out,28.26,Adult Non-Fiction
Project Hail Mary,Andy Weir,9781002019955,813.6 W98,2021,Science Fiction,Book,Branch,38118065825,117,2025-07-08,2022-03-06,Lost,29.25,Adult Fiction
Animal Farm,George Orwell,9781021441638,823.912 O15,1945,Fiction,Book,Branch,35973501339,9,2023-05-21,1997-12-16,Available,14.01,Adult Fiction
Magnolia Table,Joanna Gaines,9780686029946,641.5 G62,2018,Cooking,Book,Branch,34641902461,16,2025-05-08,2019-05-19,Available,16.68,Adult Non-Fiction
HTML for the World Wide Web,Elizabeth Castro,9781026849132,005.72 C64,1998,Technology,Book,Branch,36654385989,3,2022-04-23,1998-07-24,Checked Out,17.37,Adult Non-Fiction
Slaughterhouse-Five,Kurt Vonnegut,9780191789335,813.54 V93,1969,Fiction,Book,Branch,36981604165,0,,2009-01-30,Available,18.86,Adult Fiction
Beloved,Toni Morrison,9781874140139,813.54 M39,1987,Fiction,Book,Main,33347621138,0,,2008-03-06,Missing,16.67,Adult Fiction
Clean Code,Robert C. Martin,9780400083728,QA76.76.D47 1918,2008,Technology,Book,Main,31925915326,65,2024-09-06,2008-02-15,Available,20.13,Adult Non-Fiction
Lessons in Chemistry,Bonnie Garmus,9781202992492,813.6 G68,2022,Fiction,Book,Branch,32274350418,39,2020-08-22,2022-11-18,Available,11.94,Adult Fiction
Fourth Wing,Rebecca Yarros,9781483849294,813.6 Y91,2023,Fiction,Book,Main,37944675764,6,2025-10-28,2023-08-10,Available,12.84,Adult Fiction
"Beautiful World, Where Are You",Sally Rooney,9780776179063,823.92 R58,2021,Fiction,Book,Branch,32043030161,21,2020-06-17,2021-05-04,Available,17.59,Adult Fiction
The Paris Apartment,Lucy Foley,9781422553220,823.92 F71,2022,Fiction,Book,Branch,35667181604,17,2024-04-01,2023-11-16,Available,17.38,Adult Fiction
Holly,Stephen King,9780871215123,813.54 K29,2023,Fiction,Book,Main,32144335983,27,2025-05-12,2024-05-17,Available,19.28,Adult Fiction
1984,George Orwell,9780138582166,PR6029.R8 1998,1949,Fiction,Large Print,Main,37225841764,9,2025-01-25,1999-08-28,Missing,29.77,Adult Fiction
"Thinking, Fast and Slow",Daniel Kahneman,9781666387384,153.42 K81,2011,Psychology,Book,Branch,38178927766,12,2023-09-21,2012-04-10,Checked Out,21.63,Adult Non-Fiction
One Hundred Years of Solitude,Gabriel Garcia Marquez,9780634049507,PQ8180.17.A73 1907,1970,Fiction,Book,Main,36528427385,7,2023-12-20,2008-12-23,Available,28.61,Adult Fiction
The Covenant of Water,Abraham Verghese,9781262345443,813.54 V48,2023,Fiction,Book,Branch,37022836757,31,2025-10-15,2023-01-20,Available,27.38,Adult Fiction
Think Again,Adam Grant,9780335602599,153.42 G92,2021,Psychology,Audiobook,Main,31323639855,16,2025-01-12,2022-08-17,Available,33.61,Adult Non-Fiction
Holly,Stephen King,9780897434263,PS3561.I483 1959,2023,Fiction,Book,Branch,34332894265,4,2022-05-14,2023-03-09,Available,28.34,Adult Fiction
Pet Sematary,Stephen King,9781702941648,813.54 K54,1983,Fiction,Book,Branch,32625792787,8,2022-07-22,1996-01-11,Available,25.68,Adult Fiction
It,Stephen King,9781195581192,PS3561.I483 1911,1986,Fiction,Large Print,Branch,39912264204,18,2022-12-17,2001-08-22,Available,33.20,Adult Fiction
The Institute,Stephen King,9781486896080,813.54 K53,2019,Fiction,Book,Branch,35431277186,0,,2019-05-30,Checked Out,12.05,Adult Fiction
The Shining,Stephen King,9780994682109,813.54 K63,1977,Fiction,Book,Main,38293453178,3,2021-01-14,1997-04-17,Checked Out,18.21,Adult Fiction
Percy Jackson and the Lightning Thief,Rick Riordan,9781914811715,813.54 R20,2005,Fiction,Book,Children,34272906474,14,2025-11-17,2005-07-20,Available,15.67,Juvenile
